id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,calculated_host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,has_availability,availability_30,number_of_reviews,first_review,instant_bookable,reviews_per_month,review_scores_rating,review_scores_value,review_scores_checkin,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_communication
44077,within an hour,98%-100%,97%-100%,t,1,t,Dn Laoghaire-Rathdown,others,Private room,2,1.5 shared baths,1,2,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Paid washer \u2013 In unit"", ""Private fenced garden or backyard"", ""Free driveway parking on premises"", ""Central heating"", ""Mini fridge"", ""Clothing storage: closet"", ""Ethernet connection"", ""Dishes and silverware"", ""First aid kit"", ""Paid dryer \u2013 In unit"", ""Cleaning products"", ""Hot water"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Air conditioning"", ""Free street parking"", ""Bathtub"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Room-darkening shades"", ""Outdoor dining area"", ""Wine glasses"", ""Extra pillows and blankets""]",70.0,3,t,2,258,4255,f,1.85,4.78,4.82,4.93,4.83,4.66,4.74,4.93
85156,within an hour,98%-100%,97%-100%,t,1,t,Dn Laoghaire-Rathdown,others,Private room,2,1.5 shared baths,1,1,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Private fenced garden or backyard"", ""Ethernet connection"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Free parking on premises"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",67.0,3,t,3,210,4190,f,1.53,4.79,4.78,4.9,4.86,4.64,4.74,4.88
159889,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Private room in home,Private room,1,2 shared baths,1,1,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Carbon monoxide alarm"", ""Paid washer"", ""Breakfast"", ""Microwave"", ""Free driveway parking on premises"", ""TV with standard cable"", ""Heating"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Private garden or backyard"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Stove"", ""Baby safety gates""]",45.0,2,t,1,355,3889,f,2.78,4.74,4.74,4.86,4.77,4.63,4.71,4.9
162809,within an hour,90%-97%,80%-89%,t,1,t,Dn Laoghaire-Rathdown,Private room in townhouse,Private room,>5,1.5 shared baths,2,4,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Dining table"", ""Hangers"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared gym nearby"", ""Crib"", ""It works refrigerator"", ""Clothing storage: closet"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Drying rack for clothing"", ""Cleaning products"", ""Hot water"", ""R a d i o sound system"", ""Safe"", ""Eco shampoo"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Free street parking"", ""Luggage dropoff allowed"", ""Trash compactor"", ""Essentials"", ""Coffee maker"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Baby safety gates"", ""Baby bath"", ""Extra pillows and blankets"", ""Free carport on premises""]",80.0,1,t,2,326,2721,f,3.68,4.84,4.85,4.95,4.88,4.77,4.85,4.97
165828,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Entire rental unit,Entire home/apt,5,1 bath,1,3,"[""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Wifi"", ""Smoke alarm""]",251.0,3,t,1,64,4036,t,0.48,4.63,4.55,4.81,4.89,4.34,4.69,4.75
165829,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Entire rental unit,Entire home/apt,5,1 bath,1,3,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Shared patio or balcony"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Luggage dropoff allowed"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",244.0,3,t,8,76,3947,t,0.59,4.69,4.59,4.78,4.85,4.39,4.75,4.73
178860,within an hour,98%-100%,90%-96%,f,1,t,Dublin City,Private room in home,Private room,2,1.5 shared baths,1,unknown,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Paid parking off premises""]",80.0,2,t,0,313,3720,f,2.57,4.88,4.84,4.95,4.94,4.94,4.88,4.96
181823,within an hour,98%-100%,0%-69%,f,1,t,Dublin City,Private room in home,Private room,1,1 shared bath,1,1,"[""Fire extinguisher"", ""Dryer"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Breakfast"", ""Heating"", ""Washer"", ""First aid kit"", ""Hot water"", ""Free parking on premises"", ""TV with Netflix, standard cable"", ""Hair dryer"", ""Iron"", ""Cable TV"", ""Essentials"", ""Wifi"", ""Smoke alarm""]",139.0,1,t,2,50,4104,f,0.37,4.6,4.47,4.79,4.62,4.47,4.47,4.83
237465,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Entire rental unit,Entire home/apt,2,1.5 baths,1,3,"[""Oven"", ""Hot water kettle"", ""Hangers"", ""Security cameras on property"", ""Kitchen"", ""Microwave"", ""TV with standard cable"", ""Ethernet connection"", ""Heating"", ""Dishes and silverware"", ""Hot water"", ""Shower gel"", ""Hair dryer"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Stove"", ""Wine glasses"", ""Wifi \u2013 28 Mbps"", ""Extra pillows and blankets""]",68.0,1,t,4,392,3978,f,3.0,4.56,4.61,4.81,4.71,4.39,4.56,4.79
245903,within an hour,98%-100%,0%-69%,t,1,f,South Dublin,Private room in home,Private room,1,1.5 shared baths,1,1,"[""Oven"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",30.0,7-33,t,4,43,3722,f,0.35,4.93,4.85,4.98,4.93,4.66,4.9,5.0
