,id,price,availability_30,number_of_reviews,first_review,reviews_per_month,review_scores_rating,review_scores_value,review_scores_checkin,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_communication,host_response_time_a few days or more,host_response_time_unknown,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_rate_0%-69%,host_response_rate_70%-79%,host_response_rate_80%-89%,host_response_rate_90%-97%,host_response_rate_98%-100%,host_response_rate_unknown,host_acceptance_rate_0%-69%,host_acceptance_rate_70%-79%,host_acceptance_rate_80%-89%,host_acceptance_rate_90%-96%,host_acceptance_rate_97%-100%,host_acceptance_rate_unknown,host_is_superhost_f,host_is_superhost_t,calculated_host_listings_count_1,calculated_host_listings_count_10-29,calculated_host_listings_count_2-4,calculated_host_listings_count_5-9,calculated_host_listings_count_>29,host_identity_verified_f,host_identity_verified_t,neighbourhood_cleansed_Dn Laoghaire-Rathdown,neighbourhood_cleansed_Dublin City,neighbourhood_cleansed_Fingal,neighbourhood_cleansed_South Dublin,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Shared room in home,property_type_Shared room in rental unit,property_type_others,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,accommodates_1,accommodates_2,accommodates_3,accommodates_4,accommodates_5,accommodates_>5,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_2 baths,bathrooms_text_2 shared baths,bathrooms_text_2.5 baths,bathrooms_text_3 baths,bathrooms_text_others,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_>5,bedrooms_unknown,beds_1,beds_2,beds_3,beds_4,beds_5,beds_6,beds_>6,beds_unknown,minimum_nights_1,minimum_nights_2,minimum_nights_3,minimum_nights_4,minimum_nights_5,minimum_nights_6,minimum_nights_7-33,minimum_nights_>33,has_availability_f,has_availability_t,instant_bookable_f,instant_bookable_t,amenities_Hot water kettle,amenities_Fire extinguisher,amenities_Outdoor furniture,amenities_Dining table,amenities_Indoor fireplace,amenities_Cooking basics,amenities_Breakfast,amenities_Microwave,amenities_Private fenced garden or backyard,amenities_Central heating,amenities_Clothing storage: closet,amenities_Ethernet connection,amenities_Dishes and silverware,amenities_First aid kit,amenities_Cleaning products,amenities_Shower gel,amenities_Lock on bedroom door,amenities_Single level home,amenities_Dishwasher,amenities_Freezer,amenities_Free street parking,amenities_Bathtub,amenities_Coffee maker,amenities_Refrigerator,amenities_Conditioner,amenities_Body soap,amenities_Bed linens,amenities_Toaster,amenities_Lockbox,amenities_Room-darkening shades,amenities_Outdoor dining area,amenities_Wine glasses,amenities_Extra pillows and blankets,amenities_Oven,amenities_Dryer,amenities_Free parking on premises,amenities_Luggage dropoff allowed,amenities_TV with standard cable,amenities_Cable TV,amenities_Private patio or balcony,amenities_Stove,amenities_Laundromat nearby,amenities_Crib,amenities_Pack \u2019n play/Travel crib,amenities_Drying rack for clothing,amenities_Backyard,amenities_Host greets you,amenities_Paid parking off premises,amenities_Security cameras on property,amenities_Private entrance,amenities_High chair,amenities_Dedicated workspace,amenities_Children\u2019s books and toys,amenities_BBQ grill,amenities_Paid parking on premises,amenities_Baking sheet,amenities_Patio or balcony,amenities_TV,amenities_Elevator,amenities_Free washer \u2013 In unit,amenities_Free dryer \u2013 In unit
0,44077,70.0,2,258,4255,1.85,4.78,4.82,4.93,4.83,4.66,4.74,4.93,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,85156,67.0,3,210,4190,1.53,4.79,4.78,4.9,4.86,4.64,4.74,4.88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,159889,45.0,1,355,3889,2.78,4.74,4.74,4.86,4.77,4.63,4.71,4.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,162809,80.0,2,326,2721,3.68,4.84,4.85,4.95,4.88,4.77,4.85,4.97,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,165828,251.0,1,64,4036,0.48,4.63,4.55,4.81,4.89,4.34,4.69,4.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,165829,244.0,8,76,3947,0.59,4.69,4.59,4.78,4.85,4.39,4.75,4.73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,178860,80.0,0,313,3720,2.57,4.88,4.84,4.95,4.94,4.94,4.88,4.96,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,181823,139.0,2,50,4104,0.37,4.6,4.47,4.79,4.62,4.47,4.47,4.83,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,237465,68.0,4,392,3978,3.0,4.56,4.61,4.81,4.71,4.39,4.56,4.79,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,245903,30.0,4,43,3722,0.35,4.93,4.85,4.98,4.93,4.66,4.9,5.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
